wavelength,flux,sigma
16.021339,0.20183,0.003777
16.033548,0.198793,0.003035
16.045757,0.192378,0.00301
16.057964,0.195106,0.003307
16.070168,0.195213,0.003493
16.082371,0.1955,0.002911
16.09425,0.196614,0.003221
16.106398,0.202329,0.00844
16.118593,0.209148,0.00412
16.130787,0.197723,0.003585
16.142979,0.197501,0.003287
16.155169,0.198015,0.003939
16.167356,0.200248,0.004267
16.179543,0.19754,0.00374
16.191727,0.203645,0.004814
16.203583,0.205132,0.004148
16.215763,0.203662,0.003414
16.227942,0.207262,0.003745
16.240116,0.201228,0.004931
16.252291,0.20232,0.003617
16.264462,0.203386,0.004876
16.27663,0.206541,0.004268
16.288799,0.197405,0.004617
16.300964,0.202493,0.004527
16.313128,0.207616,0.005286
16.325291,0.197949,0.003763
16.337448,0.200062,0.004847
16.349606,0.204765,0.003447
16.361763,0.195203,0.003602
16.373917,0.205547,0.004008
16.386066,0.207631,0.003318
16.398216,0.207451,0.003195
16.410364,0.198922,0.002858
16.42251,0.20916,0.076749
16.434654,0.206224,0.003595
16.446796,0.207866,0.00393
16.458935,0.190544,0.086947
16.471073,0.213691,0.00361
16.483208,0.194925,0.004385
16.495316,0.195414,0.004845
16.500284,0.19218,0.007703
16.513622,0.202037,0.081999
16.52696,0.200019,0.00467
16.539913,0.203516,0.003921
16.553246,0.200951,0.003631
16.566574,0.20063,0.003641
16.579903,0.198396,0.004285
16.593227,0.194478,0.003958
16.60655,0.204967,0.00391
16.619871,0.201365,0.003303
16.63319,0.202018,0.00394
16.646505,0.197724,0.003261
16.659821,0.203713,0.004261
16.673134,0.205245,0.003898
16.686478,0.196789,0.003123
16.699787,0.202709,0.00381
16.713127,0.203386,0.003351
16.726429,0.203537,0.003865
16.739731,0.203063,0.003703
16.753031,0.196963,0.003568
16.766327,0.206984,0.004185
16.779621,0.206108,0.004995
16.792912,0.199596,0.004527
16.805811,0.203313,0.004184
16.819098,0.196161,0.004481
16.832382,0.202242,0.003884
16.845665,0.205025,0.003775
16.858946,0.199727,0.004287
16.87183,0.206903,0.00342
16.885105,0.206403,0.003205
16.89838,0.203855,0.003391
16.91165,0.200614,0.003355
16.924919,0.209006,0.003984
16.938185,0.204913,0.003293
16.95145,0.206834,0.003307
16.96471,0.202424,0.00304
16.97797,0.203287,0.003279
16.991228,0.21078,0.003173
17.004484,0.206792,0.003452
17.017738,0.210342,0.002912
17.030989,0.219391,0.003225
17.044237,0.216306,0.062064
17.057484,0.204998,0.003099
